variable,issue,transform_applied,quality,n_nonmissing,raw_skew,final_skew,raw_kurtosis,final_kurtosis,guess_reason
expenses_grants_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),ok,2095,2.518037231399094,0.9754773000863518,5.381552274838988,-0.6144816936833633,"bounded [0,1] with substantial zero mass (p0=0.646)"
investments_assets_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),ok,2095,2.1954669772256943,1.1943108750441622,3.8185057784693477,-0.12078774023719419,"bounded [0,1] with substantial zero mass (p0=0.692)"
land_assets_net_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),ok,2095,1.0335706995401703,-0.12377060150181042,-0.23040580988765091,-1.381608409624357,"bounded [0,1] with substantial zero mass (p0=0.333)"
revenue_fundevents_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),ok,2095,7.075431645184458,1.5237437364418787,64.43802949793107,0.820641374154941,"bounded [0,1] with substantial zero mass (p0=0.749)"
revenue_programs_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),ok,2095,0.7723313141934481,-0.09213688820600925,-0.9446217689479282,-1.4077418544581262,"bounded [0,1] with substantial zero mass (p0=0.343)"
cash_burn_w,Mixed-sign with right skew,rank_normal,ok,2095,3.723417414867907,0.8404261146439824,13.598893368949053,-0.4333694681094875,mixed-sign or otherwise messy support
netassets_comp_w,Mixed-sign with left skew,rank_normal,ok,2095,-1.705741105393425,-0.4843739373993466,1.7559247610086341,0.11375504452640461,mixed-sign or otherwise messy support
earned_income_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),strong,2095,0.5929254037141948,-0.2833717540410764,-1.2155910504529208,-1.1445943250739734,"bounded [0,1] with substantial zero mass (p0=0.263)"
expenses_admin_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),strong,2095,2.3889487353587553,-0.7458058072386734,7.564545376159815,0.059871262285426496,"bounded [0,1] with substantial zero mass (p0=0.119)"
expenses_compensation_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),strong,2095,-0.16298833636979357,-0.6876281106354186,-1.0562525067794732,-0.21848783242879044,"bounded [0,1] with substantial zero mass (p0=0.144)"
expenses_feesforservice_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),strong,2095,2.9572914800805816,-0.743491355779027,9.426846957094318,0.07994454926760719,"bounded [0,1] with substantial zero mass (p0=0.118)"
fundr_eff_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),strong,2095,2.555230275204805,0.28812896532817817,6.815248274303663,-1.4807990013151073,"bounded [0,1] with substantial zero mass (p0=0.465)"
grants_govt_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),strong,2095,1.8010200586578657,0.3054061576741317,2.0211641506743554,-1.4485422422548517,"bounded [0,1] with substantial zero mass (p0=0.468)"
overhead_w,"Bounded [0,1] with substantial zero mass",hurdle (rank positive part),strong,2095,2.3889487353587553,-0.7458058072386734,7.564545376159815,0.059871262285426496,"bounded [0,1] with substantial zero mass (p0=0.119)"
cash_assets_w,"Bounded [0,1] with boundary pile-up",logit,strong,2095,0.8524276430274352,0.3380254268768576,-0.7057827033516442,0.6883143904970228,"bounded [0,1] with limited boundary pile-up"
assets_rev_w,Mixed-sign with right skew,rank_normal,strong,2095,5.16942391402226,-0.0045365187499363255,33.286573972252825,-0.0857962362369098,mixed-sign or otherwise messy support
cash_liq_w,Mixed-sign with right skew,rank_normal,strong,2095,4.148427189716498,-0.0017898715586576013,17.342684548977477,-0.28317225999280105,mixed-sign or otherwise messy support
current_w,Mixed-sign with right skew,rank_normal,strong,2095,4.134937135163733,-0.008229884044642075,17.199573019344985,-0.27185404968811255,mixed-sign or otherwise messy support
